Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
202403200BOS,2024-03-20,7:30p,Milwaukee Bucks,MIL,119,Boston Celtics,BOS,122,/boxscores/202403200BOS.html,TD Garden,19156.0,,2024,1,3,2:24
202403200TOR,2024-03-20,7:30p,Sacramento Kings,SAC,123,Toronto Raptors,TOR,89,/boxscores/202403200TOR.html,Scotiabank Arena,18641.0,,2024,0,-34,2:05
202403200OKC,2024-03-20,8:00p,Utah Jazz,UTA,107,Oklahoma City Thunder,OKC,119,/boxscores/202403200OKC.html,Paycom Center,18203.0,,2024,1,12,2:15
202403200GSW,2024-03-20,10:00p,Memphis Grizzlies,MEM,116,Golden State Warriors,GSW,137,/boxscores/202403200GSW.html,Chase Center,18064.0,,2024,1,21,2:12
202403200PHO,2024-03-20,10:00p,Philadelphia 76ers,PHI,102,Phoenix Suns,PHO,115,/boxscores/202403200PHO.html,Footprint Center,17071.0,,2024,1,13,2:05
202403200POR,2024-03-20,10:00p,Los Angeles Clippers,LAC,116,Portland Trail Blazers,POR,103,/boxscores/202403200POR.html,Moda Center,17504.0,,2024,0,-13,1:58
202403210ORL,2024-03-21,7:00p,New Orleans Pelicans,NOP,106,Orlando Magic,ORL,121,/boxscores/202403210ORL.html,Kia Center,17094.0,,2024,1,15,2:09
202403210WAS,2024-03-21,7:00p,Sacramento Kings,SAC,102,Washington Wizards,WAS,109,/boxscores/202403210WAS.html,Capital One Arena,14495.0,,2024,1,7,2:15
202403210HOU,2024-03-21,8:00p,Chicago Bulls,CHI,117,Houston Rockets,HOU,127,/boxscores/202403210HOU.html,Toyota Center,17016.0,,2024,1,10,2:19
202403210MIL,2024-03-21,8:00p,Brooklyn Nets,BRK,108,Milwaukee Bucks,MIL,115,/boxscores/202403210MIL.html,Fiserv Forum,17341.0,,2024,1,7,2:17
202403210DAL,2024-03-21,8:30p,Utah Jazz,UTA,97,Dallas Mavericks,DAL,113,/boxscores/202403210DAL.html,American Airlines Center,20277.0,,2024,1,16,2:19
